# Insumos oficiales del backtest reel 2 (todo con fuente publica; ver backtest-fuentes-2015-2025.candidato.csv para URLs).
# cuota: SP app valoresCuotaFondo (Fondo A, CLP/cuota, fin de mes habil).
# deposito: BCCh TIP captaciones 90d-1a reajustable UF, promedio anual (la base entrega el promedio).
# hipoteca: BCCh colocacion vivienda reajustable UF, promedio 2015. Verificada 28-ago-2026 contra BDE BCCh por Fabrizio.
# uf_dic: UF oficial SII al 31-dic. uf_mes: UF oficial SII al ultimo dia de cada mes
#   (tabla consolidada dia x mes de sii.cl/valores_y_fechas/uf/uf<anio>.htm).
serie,clave,fecha,valor
uf_mes,SII,2017-10-fin,26634.90
uf_mes,SII,2017-11-fin,26731.12
uf_mes,SII,2017-12-fin,26798.14
uf_mes,SII,2018-01-fin,26824.94
uf_mes,SII,2018-02-fin,26923.70
uf_mes,SII,2018-03-fin,26966.89
uf_mes,SII,2018-04-fin,27004.63
uf_mes,SII,2018-05-fin,27078.32
uf_mes,SII,2018-06-fin,27158.77
uf_mes,SII,2018-07-fin,27202.48
uf_mes,SII,2018-08-fin,27287.57
uf_mes,SII,2018-09-fin,27357.45
uf_mes,SII,2018-10-fin,27432.10
uf_mes,SII,2018-11-fin,27532.80
uf_mes,SII,2018-12-fin,27565.79
uf_mes,SII,2019-01-fin,27546.22
uf_mes,SII,2019-02-fin,27556.90
uf_mes,SII,2019-03-fin,27565.76
uf_mes,SII,2019-04-fin,27662.17
uf_mes,SII,2019-05-fin,27762.55
uf_mes,SII,2019-06-fin,27903.30
uf_mes,SII,2019-07-fin,27953.42
uf_mes,SII,2019-08-fin,27993.08
uf_mes,SII,2019-09-fin,28048.53
uf_mes,SII,2019-10-fin,28065.35
uf_mes,SII,2019-11-fin,28222.33
uf_mes,SII,2019-12-fin,28309.94
uf_mes,SII,2020-01-fin,28338.25
uf_mes,SII,2020-02-fin,28463.67
uf_mes,SII,2020-03-fin,28597.46
uf_mes,SII,2020-04-fin,28690.73
uf_mes,SII,2020-05-fin,28716.52
uf_mes,SII,2020-06-fin,28696.42
uf_mes,SII,2020-07-fin,28667.44
uf_mes,SII,2020-08-fin,28679.45
uf_mes,SII,2020-09-fin,28707.85
uf_mes,SII,2020-10-fin,28838.63
uf_mes,SII,2020-11-fin,29030.17
uf_mes,SII,2020-12-fin,29070.33
uf_mes,SII,2021-01-fin,29123.74
uf_mes,SII,2021-02-fin,29287.38
uf_mes,SII,2021-03-fin,29394.77
uf_mes,SII,2021-04-fin,29494.13
uf_mes,SII,2021-05-fin,29613.26
uf_mes,SII,2021-06-fin,29709.83
uf_mes,SII,2021-07-fin,29757.64
uf_mes,SII,2021-08-fin,29935.08
uf_mes,SII,2021-09-fin,30088.37
uf_mes,SII,2021-10-fin,30380.53
uf_mes,SII,2021-11-fin,30762.80
uf_mes,SII,2021-12-fin,30991.74
uf_mes,SII,2022-01-fin,31212.65
uf_mes,SII,2022-02-fin,31539.20
uf_mes,SII,2022-03-fin,31727.74
uf_mes,SII,2022-04-fin,32176.49
uf_mes,SII,2022-05-fin,32679.54
uf_mes,SII,2022-06-fin,33086.83
uf_mes,SII,2022-07-fin,33417.26
uf_mes,SII,2022-08-fin,33836.51
uf_mes,SII,2022-09-fin,34258.23
uf_mes,SII,2022-10-fin,34600.35
uf_mes,SII,2022-11-fin,34811.80
uf_mes,SII,2022-12-fin,35110.98
uf_mes,SII,2023-01-fin,35287.50
uf_mes,SII,2023-02-fin,35509.68
uf_mes,SII,2023-03-fin,35575.48
uf_mes,SII,2023-04-fin,35838.55
uf_mes,SII,2023-05-fin,36032.89
uf_mes,SII,2023-06-fin,36089.48
uf_mes,SII,2023-07-fin,36049.05
uf_mes,SII,2023-08-fin,36130.31
uf_mes,SII,2023-09-fin,36197.53
uf_mes,SII,2023-10-fin,36388.07
uf_mes,SII,2023-11-fin,36563.87
uf_mes,SII,2023-12-fin,36789.36
uf_mes,SII,2024-01-fin,36733.04
uf_mes,SII,2024-02-fin,36856.50
uf_mes,SII,2024-03-fin,37093.52
uf_mes,SII,2024-04-fin,37261.98
uf_mes,SII,2024-05-fin,37438.91
uf_mes,SII,2024-06-fin,37571.86
uf_mes,SII,2024-07-fin,37578.95
uf_mes,SII,2024-08-fin,37754.47
uf_mes,SII,2024-09-fin,37910.42
uf_mes,SII,2024-10-fin,37971.42
uf_mes,SII,2024-11-fin,38247.92
uf_mes,SII,2024-12-fin,38416.69
uf_mes,SII,2025-01-fin,38384.41
uf_mes,SII,2025-02-fin,38647.94
uf_mes,SII,2025-03-fin,38894.11
uf_mes,SII,2025-04-fin,39075.41
uf_mes,SII,2025-05-fin,39189.45
uf_mes,SII,2025-06-fin,39267.07
uf_mes,SII,2025-07-fin,39179.01
uf_mes,SII,2025-08-fin,39383.07
uf_mes,SII,2025-09-fin,39485.65
uf_mes,SII,2025-10-fin,39597.67
uf_mes,SII,2025-11-fin,39643.59
uf_mes,SII,2025-12-fin,39727.96
